,departure_id,departure_city,departure_name,departure_latitude,departure_longitude,destination_id,destination_city,destination_name,destination_latitude,destination_longitude,distance
3517,6000044,Dublin,Dublin Ferryport,53.345298,-6.19702,7001052,Holyhead,Holyhead,53.307615,-4.631135,104.07539097419563
3518,7001052,Holyhead,Holyhead,53.307615,-4.631135,7001323,London,London Euston,51.527868,-0.133409,363.49589016310125
3519,7001323,London,London Euston,51.527868,-0.133409,7004428,London,London St. Pancras International,51.531922,-0.126361,0.6640085218474281
3520,7004428,London,London St. Pancras International,51.531922,-0.126361,8898004,Bruxelles,Bruxelles-Midi Eurostar,50.835896,4.335318,320.40616602125453
3521,8898004,Bruxelles,Bruxelles-Midi Eurostar,50.835896,4.335318,8800004,Bruxelles,Bruxelles Midi,50.835375,4.335695,0.06369532469518524
3522,8800004,Bruxelles,Bruxelles Midi,50.835375,4.335695,8000207,Köln,Köln Hbf,50.942823,6.959197,184.40151915203538
3523,8000207,Köln,Köln Hbf,50.942823,6.959197,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,356.728695640855
3526,6000043,Dublin,Dublin Connolly,53.352111,-6.248006,6000103,Dublin,Dublin Port-Stena,53.345388,-6.195168,3.586014521726625
3527,6000103,Dublin,Dublin Port-Stena,53.345388,-6.195168,7001052,Holyhead,Holyhead,53.307615,-4.631135,103.95279806255996
3544,7400008,Linköping,Linköping Central,58.416014,15.626677,7400007,Norrköping,Norrköping Central,58.596562,16.183676,38.077610588912115
3655,7001323,London,London Euston,51.527868,-0.133409,7000616,Crewe,Crewe,53.088943,-2.432724,233.5728838697294
3656,7000616,Crewe,Crewe,53.088943,-2.432724,7000468,Chester,Chester,53.196652,-2.879344,32.10577633451929
3657,7000468,Chester,Chester,53.196652,-2.879344,7001052,Holyhead,Holyhead,53.307615,-4.631135,117.1903171306393
3658,7001052,Holyhead,Holyhead,53.307615,-4.631135,6000044,Dublin,Dublin Ferryport,53.345298,-6.19702,104.07539097419563
3659,6000044,Dublin,Dublin Ferryport,53.345298,-6.19702,6000043,Dublin,Dublin Connolly,53.352111,-6.248006,3.468055697751685
3720,7402007,Kiruna,Kiruna Station,67.86827,20.199526,7400043,Boden,Boden Centralstation,65.828851,21.708131,236.1515866143836
3721,7400043,Boden,Boden Centralstation,65.828851,21.708131,7400101,Umeaa,Umeaa Central,63.830127,20.267053,232.44751991999925
3722,7400101,Umeaa,Umeaa Central,63.830127,20.267053,7400718,Arlanda,Arlanda Central,59.649496,17.928419,480.8127784168947
3723,7400718,Arlanda,Arlanda Central,59.649496,17.928419,7400146,Arlanda,Arlanda Norra,59.651473,17.930927,0.2611161637766285
3724,7400146,Arlanda,Arlanda Norra,59.651473,17.930927,7400002,Stockholm,Stockholm Central,59.33001,18.05763,36.45361920387914
3725,8003189,Karlstadt,Karlstadt(Main),49.962935,9.768254,8000105,Frankfurt,Frankfurt(Main)Hbf,50.106817,8.663003,80.5443264092074
3731,7400114,Luleaa,Luleaa Central,65.584048,22.165664,7400101,Umeaa,Umeaa Central,63.830127,20.267053,214.8524013629478
3770,1000069,Oulu,Oulu/Uleaborg,65.011327,25.484185,1000089,Seinäjoki,Seinäjoki,62.791954,22.844053,278.4775971765294
3771,1000089,Seinäjoki,Seinäjoki,62.791954,22.844053,1000038,Tampere,Tampere/Tammerfors,61.499332,23.773385,151.6215652000614
3772,1000038,Tampere,Tampere/Tammerfors,61.499332,23.773385,1000093,Turku,Turku satama/Åbo hamn,60.43473,22.223249,144.94346248116554
3787,8300239,Napoli,Napoli Centrale,40.852827,14.273072,8300046,Milano,Milano Centrale,45.487143,9.204828,658.8617901271045
3788,8300046,Milano,Milano Centrale,45.487143,9.204828,8503000,Zürich,Zürich HB,47.378177,8.540211,216.3518316076965
3789,8503000,Zürich,Zürich HB,47.378177,8.540211,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,694.4246165112157
3799,8010085,Dresden,Dresden Hbf,51.040221,13.731409,8098160,Berlin,Berlin Hbf (tief),52.52585,13.368892,167.06544867199023
3839,7800020,Zagreb,Zagreb Glavni kolodvor,45.804436,15.978704,8000013,Augsburg,Augsburg Hbf,48.365247,10.885595,479.18933949780313
3840,8000013,Augsburg,Augsburg Hbf,48.365247,10.885595,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,580.1758875877953
3865,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,8000290,Offenburg,Offenburg,48.476506,7.94677,582.5686477849209
3866,8000290,Offenburg,Offenburg,48.476506,7.94677,8700011,Paris,Paris Est,48.876976,2.35912,412.574954211868
