airline,airline ID, source airport, source airport id,destination airport, destination airport id, stops, equipment,source_longitude,source_latitude,source_city,source_country,source_country_code,dest_longitude,dest_latitude,dest_city,dest_country,dest_country_code,distance,new_source_latitude,new_source_longitude,new_dest_latitude,new_dest_longitude,new_distance,color,emissions
IB,2822,OVD,1214.0,PMI,3998.0,0.0,CR9 CRK,-6.03461980819702,43.5635986328125,Avila,Spain,ES,27.3881006241,39.551700592,Palma,Spain,ES,2797.1966824530623,25.49203,-103.59389,22.71046,-101.79187,NA,#FF3333,308741.63506983686
IB,2822,OVD,1214.0,SVQ,1253.0,0.0,320,-6.03461980819702,43.5635986328125,Avila,Spain,ES,-5.89310979843139,37.4179992675781,Seville city,Spain,ES,683.4639214495098,25.49203,-103.59389,37.38283,-5.97317,NA,#FF3333,76231.03135944607
IB,2822,OVD,1214.0,VLC,1246.0,0.0,CRK CR9,-6.03461980819702,43.5635986328125,Avila,Spain,ES,-0.481625,39.4893,Valencia,Spain,ES,646.961958703128,25.49203,-103.59389,39.46975,-0.37739,NA,#FF3333,72215.81545734407
IB,2822,PMI,3998.0,TLS,1273.0,0.0,320,27.3881006241,39.551700592,Palma,Spain,ES,13.6382,43.629101,Toulouse,France,FR,1228.2129395634488,22.71046,-101.79187,43.60426,1.44367,NA,#FF3333,136153.42335197938
IB,2822,SVQ,1253.0,VLC,1246.0,0.0,CRK CR2 CR9 AT7,-5.89310979843139,37.4179992675781,Seville city,Spain,ES,-0.481625,39.4893,Valencia,Spain,ES,524.368431889329,37.38283,-5.97317,39.46975,-0.37739,539.7334553088245,#FF3333,58730.52750782619
IB,2822,TFS,1056.0,VGO,1250.0,0.0,32S,-1.65725002289,28.044500351,Tenerife,Spain,ES,-8.62677001953125,42.2318000793457,Vigo,Spain,ES,1698.5392160924948,9.93303,-74.69346,13.90401,120.64875,NA,#FF3333,187889.31377017443
IG,3463,BLQ,1538.0,CAG,1519.0,0.0,M80,11.2887,44.5354,Bologna,Italy,IT,90.5428,39.251499,Cagliari,Italy,IT,6322.576641577726,44.49381,11.33875,39.23054,9.11917,613.3671548038877,#FF3333,696533.4305735498
IG,3463,BLQ,1538.0,OLB,1520.0,0.0,M80,11.2887,44.5354,Bologna,Italy,IT,95.1763,40.898701,Olbia,Italy,IT,6549.175844440159,44.49381,11.33875,36.90812,30.69556,1830.5151817749447,#FF3333,721459.3428884175
IG,3463,CAG,1519.0,NAP,1561.0,0.0,737 M80,90.5428,39.251499,Cagliari,Italy,IT,14.2908,40.886002,Naples,Italy,IT,6272.208177160236,39.23054,9.11917,40.85631,14.24641,472.32065897236436,#FF3333,690992.8994876259
IG,3463,CAG,1519.0,TRN,1526.0,0.0,M80,90.5428,39.251499,Cagliari,Italy,IT,76.4963,45.200802,Torino,Italy,IT,1329.7002664967983,39.23054,9.11917,45.07049,7.68682,659.9893329526009,#FF3333,147317.0293146478
